DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SK,2002-01-01,2312.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2002-01-01,385901.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2003-01-01,111869.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2003-01-01,112060.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2003-01-01,119783.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2003-01-01,7981.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2003-01-01,60015.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2003-01-01,768975.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2003-01-01,49754.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2003-01-01,967.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2003-01-01,63141.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,ES,2003-01-01,470010.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2003-01-01,17838.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2003-01-01,18455.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2003-01-01,21327.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2003-01-01,58875.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2003-01-01,3704.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2003-01-01,440301.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LT,2003-01-01,4728.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,2003-01-01,13158.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,2003-01-01,4063.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NL,2003-01-01,104514.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NO,2003-01-01,35957.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PL,2003-01-01,7048.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PT,2003-01-01,31425.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SE,2003-01-01,63795.0,,
